,appointed_by,date_confirmed,end,justice,position,replacing,start,state,tenure_length
0,George Washington,"001 !September 26, 1789 (Acclamation)",1795-06-29,John Jay (1745–1829),Chief Justice,New seat,1789-09-26,NY,"7008181634400000000♠5 years, 276 days"
1,George Washington,"002 !September 26, 1789 (Acclamation)",1791-03-04,John Rutledge (1739–1800),Associate Justice,New seat,1789-09-26,SC,"7007452952000000000♠1 year, 159 days"
2,George Washington,"003 !September 26, 1789 (Acclamation)",1810-09-13,William Cushing (1732–1810),Associate Justice,New seat,1789-09-27,MA,"7008661478400000000♠20 years, 351 days"
3,George Washington,"004 !September 26, 1789 (Acclamation)",1798-08-21,James Wilson (1742–1798),Associate Justice,New seat,1789-09-29,PA,"7008280627200000000♠8 years, 326 days"
4,George Washington,"005 !September 26, 1789 (Acclamation)",1795-10-25,John Blair (1732–1800),Associate Justice,New seat,1789-09-30,VA,"7008191505600000000♠6 years, 25 days"
5,George Washington,"006 !February 10, 1790 (Acclamation)",1799-10-20,James Iredell (1751–1799),Associate Justice,New seat,1790-05-12,NC,"7008297928800000000♠9 years, 161 days"
6,George Washington,"007 !November 7, 1791 (Acclamation)",1793-01-16,Thomas Johnson (1732–1819),Associate Justice,J. Rutledge,1792-08-05,MD,7007141696000000000♠164 days
7,George Washington,"008 !March 4, 1793 (Acclamation)",1806-09-08,William Paterson (1745–1806),Associate Justice,T. Johnson,1793-03-04,NJ,"7008426492000000000♠13 years, 188 days"
8,George Washington,"009 !December 15, 1795 (10–14)[e]",1795-12-28,John Rutledge (1739–1800),Chief Justice,Jay,1795-06-30,SC,7007156384000000000♠181 days
9,George Washington,"010 !January 27, 1796 (Acclamation)",1811-06-19,Samuel Chase[f] (1741–1811),Associate Justice,Blair,1796-01-27,MD,"7008485719200000000♠15 years, 143 days"
10,George Washington,"011 !March 4, 1796 (21–1)",1800-12-15,Oliver Ellsworth (1745–1807),Chief Justice,J. Rutledge,1796-03-08,CT,"7008150595200000000♠4 years, 282 days"
11,John Adams,"012 !December 20, 1798 (Acclamation)",1829-11-26,Bushrod Washington (1762–1829),Associate Justice,Wilson,1798-12-20,VA,"7008976190400000000♠30 years, 341 days"
12,John Adams,"013 !December 9, 1799 (Acclamation)",1804-01-26,Alfred Moore (1755–1810),Associate Justice,Iredell,1799-12-10,NC,"7008130291200000000♠4 years, 47 days"
13,John Adams,"014 !January 27, 1801 (Acclamation)",1835-07-06,John Marshall (1755–1835),Chief Justice,Ellsworth,1801-02-04,VA,"7009108609120000000♠34 years, 152 days"
14,Thomas Jefferson,"015 !March 24, 1804 (Acclamation)",1834-08-04,William Johnson (1771–1834),Associate Justice,Moore,1804-05-07,SC,"7008954417600000000♠30 years, 89 days"
15,Thomas Jefferson,"016 !December 17, 1806 (Acclamation)",1823-03-18,Henry Brockholst Livingston (1757–1823),Associate Justice,Paterson,1807-01-20,NY,"7008509846400000000♠16 years, 57 days"
16,Thomas Jefferson,"017 !March 2, 1807 (Acclamation)",1826-02-07,Thomas Todd (1765–1826),Associate Justice,New seat,1807-03-03,KY,"7008597499200000000♠18 years, 341 days"
17,James Madison,"018 !November 18, 1811 (Acclamation)",1835-01-12,Gabriel Duvall (1752–1844),Associate Justice,S. Chase,1811-11-23,MD,"7008730144800000000♠23 years, 50 days"
18,James Madison,"019 !November 18, 1811 (Acclamation)",1845-09-10,Joseph Story (1779–1845),Associate Justice,Cushing,1812-02-03,MA,"7009106032240000000♠33 years, 219 days"
19,James Monroe,"020 !December 9, 1823 (Acclamation)",1843-12-18,Smith Thompson (1768–1843),Associate Justice,Livingston,1823-09-01,NY,"7008640483200000000♠20 years, 108 days"
20,John Quincy Adams,"021 !May 9, 1826 (25-5)",1828-08-25,Robert Trimble (1776–1828),Associate Justice,Todd,1826-05-09,KY,"7007724464000000000♠2 years, 108 days"
21,Andrew Jackson,"022 !March 7, 1829 (Acclamation)",1861-04-04,John McLean (1785–1861),Associate Justice,Trimble,1829-03-07,OH,"7009101226240000000♠32 years, 28 days"
22,Andrew Jackson,"023 !January 6, 1830 (41-2)",1844-04-21,Henry Baldwin (1780–1844),Associate Justice,Washington,1830-01-06,PA,"7008450964800000000♠14 years, 106 days"
23,Andrew Jackson,"024 !January 9, 1835 (Acclamation)",1867-07-05,James Moore Wayne (1790–1867),Associate Justice,W. Johnson,1835-01-14,GA,"7009102470400000000♠32 years, 172 days"
24,Andrew Jackson,"025 !March 15, 1836 (29–15)",1864-10-12,Roger B. Taney (1777–1864),Chief Justice,J. Marshall,1836-03-28,MD,"7008900720000000000♠28 years, 198 days"
25,Andrew Jackson,"026 !March 15, 1836 (30-11)",1841-02-25,Philip Pendleton Barbour (1783–1841),Associate Justice,Duvall,1836-03-15,VA,"7008156211200000000♠4 years, 347 days"
26,Andrew Jackson,"027 !March 8, 1837 (28-15)",1865-05-30,John Catron (1786–1865),Associate Justice,New seat,1837-03-08,TN,"7008890784000000000♠28 years, 83 days"
